Image Path,Clothes,Cloth Pattern ,Gender,HOURGLASS,APPLE,PEAR,RECTANGLE ,TRIANGLE,INVERTED TRIANGLE,OVAL ,TRAPEZOID
C:\xampp\htdocs\URasethetic\images\Women\3_4 th sleeve .png,3_4 th sleeve,1,1,90,90,90,90,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\a line dress.png,a line dress,5,1,90,90,95,100,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\a line skirt .png,a line skirt,4,1,90,90,95,100,0,90,0,0
C:\xampp\htdocs\URasethetic\images\Women\above calf skirt.png,above calf skirt,4,1,90,85,90,95,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\accordion skirt .png,accordion skirt,4,1,85,85,85,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\aline cold shoulder with straps top .png,aline cold shoulder with straps top,2,1,90,85,85,90,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\aline kurta.png,aline kurta,7,1,90,85,90,95,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\anarkali kurta.png,anarkali kurta,7,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\angel sleeve top.png,angel sleeve top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\angel sleeve.png,angel sleeve,1,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\apron dress.png,apron dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\asymmetric cowl neck top .png,asymmetric cowl neck top,2,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\asymmetric dress.png,asymmetric dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\asymmetric jumpsuit .png,asymmetric jumpsuit,6,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\asymmetric kurta .png,asymmetric kurta,7,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\asymmetric neckline .png,asymmetric neckline,0,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\asymmetric skirt.png,asymmetric skirt,4,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\asymmetric top .png,asymmetric top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\baby doll dress.png,baby doll dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\baggy pants .png,baggy pants,3,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\ball gown dress.png,ball gown dress,5,1,75,70,75,80,0,70,0,0
C:\xampp\htdocs\URasethetic\images\Women\balloon dress.png,balloon dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\banded neckline .png,banded neckline,0,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\banded sleeve .png,banded sleeve,1,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bardot neck top .png,bardot neck top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bardot neckline .png,bardot neckline,0,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bardot top.png,bardot top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\basic jumpsuit .png,basic jumpsuit,6,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\bateau neckline.png,bateau neckline,0,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\batwing sleeve .png,batwing sleeve,1,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\batwing top .png,batwing top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\Bell sleeve.png,Bell sleeve,1,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\belted jumpsuit .png,belted jumpsuit,6,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\belted top.png,belted top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\Bermuda pants.png,Bermuda pants,3,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\bias dress.png,bias dress,5,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bias skirt.png,bias skirt,4,1,90,85,90,95,0,85,0,0
C:\xampp\htdocs\URasethetic\images\Women\bib neckline .png,bib neckline,0,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bishop sleeve .png,bishop sleeve,1,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\blazer dress.png,blazer dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\blouson dress.png,blouson dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\body suit top .png,body suit top,2,1,85,80,85,90,0,80,0,0
C:\xampp\htdocs\URasethetic\images\Women\bodycon dress.png,bodycon dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\bootcut pants.png,bootcut pants,3,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\bouffant dress.png,bouffant dress,5,1,80,75,80,85,0,75,0,0
C:\xampp\htdocs\URasethetic\images\Women\bow tie dress.png,bow tie dress,5,1,80,75,80,85,0,75,0,0
