Image Path,Pattern
C:\xampp\htdocs\URasethetic\images\Women\3_4 th sleeve .png,3_4 th sleeve 
C:\xampp\htdocs\URasethetic\images\Women\a line dress.png,a line dress
C:\xampp\htdocs\URasethetic\images\Women\a line skirt .png,a line skirt 
C:\xampp\htdocs\URasethetic\images\Women\above calf skirt.png,above calf skirt
C:\xampp\htdocs\URasethetic\images\Women\accordion skirt .png,accordion skirt 
C:\xampp\htdocs\URasethetic\images\Women\aline cold shoulder with straps top .png,aline cold shoulder with straps top 
C:\xampp\htdocs\URasethetic\images\Women\aline kurta.png,aline kurta
C:\xampp\htdocs\URasethetic\images\Women\anarkali kurta.png,anarkali kurta
C:\xampp\htdocs\URasethetic\images\Women\angel sleeve top.png,angel sleeve top
C:\xampp\htdocs\URasethetic\images\Women\angel sleeve.png,angel sleeve
C:\xampp\htdocs\URasethetic\images\Women\apron dress.png,apron dress
C:\xampp\htdocs\URasethetic\images\Women\asymmetric cowl neck top .png,asymmetric cowl neck top 
C:\xampp\htdocs\URasethetic\images\Women\asymmetric dress.png,asymmetric dress
C:\xampp\htdocs\URasethetic\images\Women\asymmetric jumpsuit .png,asymmetric jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\asymmetric kurta .png,asymmetric kurta 
C:\xampp\htdocs\URasethetic\images\Women\asymmetric neckline .png,asymmetric neckline 
C:\xampp\htdocs\URasethetic\images\Women\asymmetric skirt.png,asymmetric skirt
C:\xampp\htdocs\URasethetic\images\Women\asymmetric top .png,asymmetric top 
C:\xampp\htdocs\URasethetic\images\Women\baby doll dress.png,baby doll dress
C:\xampp\htdocs\URasethetic\images\Women\baggy pants .png,baggy pants 
C:\xampp\htdocs\URasethetic\images\Women\ball gown dress.png,ball gown dress
C:\xampp\htdocs\URasethetic\images\Women\balloon dress.png,balloon dress
C:\xampp\htdocs\URasethetic\images\Women\banded neckline .png,banded neckline 
C:\xampp\htdocs\URasethetic\images\Women\banded sleeve .png,banded sleeve 
C:\xampp\htdocs\URasethetic\images\Women\bardot neck top .png,bardot neck top 
C:\xampp\htdocs\URasethetic\images\Women\bardot neckline .png,bardot neckline 
C:\xampp\htdocs\URasethetic\images\Women\bardot top.png,bardot top
C:\xampp\htdocs\URasethetic\images\Women\basic jumpsuit .png,basic jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\bateau neckline.png,bateau neckline
C:\xampp\htdocs\URasethetic\images\Women\batwing sleeve .png,batwing sleeve 
C:\xampp\htdocs\URasethetic\images\Women\batwing top .png,batwing top 
C:\xampp\htdocs\URasethetic\images\Women\Bell sleeve.png,Bell sleeve
C:\xampp\htdocs\URasethetic\images\Women\belted jumpsuit .png,belted jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\belted top.png,belted top
C:\xampp\htdocs\URasethetic\images\Women\Bermuda pants.png,Bermuda pants
C:\xampp\htdocs\URasethetic\images\Women\bias dress.png,bias dress
C:\xampp\htdocs\URasethetic\images\Women\bias skirt.png,bias skirt
C:\xampp\htdocs\URasethetic\images\Women\bib neckline .png,bib neckline 
C:\xampp\htdocs\URasethetic\images\Women\bishop sleeve .png,bishop sleeve 
C:\xampp\htdocs\URasethetic\images\Women\blazer dress.png,blazer dress
C:\xampp\htdocs\URasethetic\images\Women\blouson dress.png,blouson dress
C:\xampp\htdocs\URasethetic\images\Women\body suit top .png,body suit top 
C:\xampp\htdocs\URasethetic\images\Women\bodycon dress.png,bodycon dress
C:\xampp\htdocs\URasethetic\images\Women\bootcut pants.png,bootcut pants
C:\xampp\htdocs\URasethetic\images\Women\bouffant dress.png,bouffant dress
C:\xampp\htdocs\URasethetic\images\Women\bow tie dress.png,bow tie dress
C:\xampp\htdocs\URasethetic\images\Women\bow top .png,bow top 
C:\xampp\htdocs\URasethetic\images\Women\box pleated skirt.png,box pleated skirt
C:\xampp\htdocs\URasethetic\images\Women\boxy top .png,boxy top 
C:\xampp\htdocs\URasethetic\images\Women\bralette top.png,bralette top
C:\xampp\htdocs\URasethetic\images\Women\bubble skirt.png,bubble skirt
C:\xampp\htdocs\URasethetic\images\Women\bush pants.png,bush pants
C:\xampp\htdocs\URasethetic\images\Women\bust pockets top.png,bust pockets top
C:\xampp\htdocs\URasethetic\images\Women\butterfly sleeve .png,butterfly sleeve 
C:\xampp\htdocs\URasethetic\images\Women\butterfly top.png,butterfly top
C:\xampp\htdocs\URasethetic\images\Women\button down shirt  - top.png,button down shirt  - top
C:\xampp\htdocs\URasethetic\images\Women\buttoned straight skirt .png,buttoned straight skirt 
C:\xampp\htdocs\URasethetic\images\Women\caftan dress.png,caftan dress
C:\xampp\htdocs\URasethetic\images\Women\Camille top.png,Camille top
C:\xampp\htdocs\URasethetic\images\Women\camisole dress.png,camisole dress
C:\xampp\htdocs\URasethetic\images\Women\camisole top.png,camisole top
C:\xampp\htdocs\URasethetic\images\Women\cap sleeve .png,cap sleeve 
C:\xampp\htdocs\URasethetic\images\Women\cape sleeve bardot crop top .png,cape sleeve bardot crop top 
C:\xampp\htdocs\URasethetic\images\Women\cape style kurta .png,cape style kurta 
C:\xampp\htdocs\URasethetic\images\Women\cape top.png,cape top
C:\xampp\htdocs\URasethetic\images\Women\capri pants .png,capri pants 
C:\xampp\htdocs\URasethetic\images\Women\cargo pants .png,cargo pants 
C:\xampp\htdocs\URasethetic\images\Women\checked shirt style crop top .png,checked shirt style crop top 
C:\xampp\htdocs\URasethetic\images\Women\checked top .png,checked top 
C:\xampp\htdocs\URasethetic\images\Women\chinos pants.png,chinos pants
C:\xampp\htdocs\URasethetic\images\Women\choker neckline .png,choker neckline 
C:\xampp\htdocs\URasethetic\images\Women\choker top.png,choker top
C:\xampp\htdocs\URasethetic\images\Women\circular sleeve .png,circular sleeve 
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder dress.png,cold shoulder dress
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder neckline .png,cold shoulder neckline 
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder sleeve .png,cold shoulder sleeve 
C:\xampp\htdocs\URasethetic\images\Women\cold shoulder top.png,cold shoulder top
C:\xampp\htdocs\URasethetic\images\Women\collar neckline.png,collar neckline
C:\xampp\htdocs\URasethetic\images\Women\colour blocked crop top .png,colour blocked crop top 
C:\xampp\htdocs\URasethetic\images\Women\colour blocked dress.png,colour blocked dress
C:\xampp\htdocs\URasethetic\images\Women\colour blocked halter neck top .png,colour blocked halter neck top 
C:\xampp\htdocs\URasethetic\images\Women\colour blocked peplum top.png,colour blocked peplum top
C:\xampp\htdocs\URasethetic\images\Women\corset top.png,corset top
C:\xampp\htdocs\URasethetic\images\Women\court neckline .png,court neckline 
C:\xampp\htdocs\URasethetic\images\Women\cowl neck kurta.png,cowl neck kurta
C:\xampp\htdocs\URasethetic\images\Women\cowl neck top .png,cowl neck top 
C:\xampp\htdocs\URasethetic\images\Women\cowl neckline .png,cowl neckline 
C:\xampp\htdocs\URasethetic\images\Women\cowl skirt .png,cowl skirt 
C:\xampp\htdocs\URasethetic\images\Women\crew neck top .png,crew neck top 
C:\xampp\htdocs\URasethetic\images\Women\crew neckline .png,crew neckline 
C:\xampp\htdocs\URasethetic\images\Women\criss cross neck fitted .png,criss cross neck fitted 
C:\xampp\htdocs\URasethetic\images\Women\crop top .png,crop top 
C:\xampp\htdocs\URasethetic\images\Women\cropped jumpsuit .png,cropped jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\cropped shirt top.png,cropped shirt top
C:\xampp\htdocs\URasethetic\images\Women\cross over neckline .png,cross over neckline 
C:\xampp\htdocs\URasethetic\images\Women\crossover top.png,crossover top
C:\xampp\htdocs\URasethetic\images\Women\cuffed pants.png,cuffed pants
C:\xampp\htdocs\URasethetic\images\Women\cuffed sleeve .png,cuffed sleeve 
C:\xampp\htdocs\URasethetic\images\Women\culottes jumpsuit .png,culottes jumpsuit 
C:\xampp\htdocs\URasethetic\images\Women\culottes pants.png,culottes pants
C:\xampp\htdocs\URasethetic\images\Women\cut out top .png,cut out top 
C:\xampp\htdocs\URasethetic\images\Women\cutout crop top .png,cutout crop top 
C:\xampp\htdocs\URasethetic\images\Women\cutout dress.png,cutout dress
C:\xampp\htdocs\URasethetic\images\Women\cutout jumpsuit .png,cutout jumpsuit 
